item,name,old_avg,new_avg,old_min,new_min,vendor_sell,listings,last_seen,factor
43466,Scroll of Strength VIII,9078,19798,3800,19599,225,30,2026-09-20 20:05:07,2.1809
41802,Imperial Manta Ray,6797,14902,5573,14800,8,141,2026-09-20 20:05:07,2.1924
38931,Scroll of Enchant Gloves - Blasting,160290,353750,96174,340000,0,5,2026-09-20 20:05:07,2.2069
41814,Glassfin Minnow,8235,18457,4941,14600,8,288,2026-09-20 20:05:07,2.2413
41381,Persistent Earthsiege Diamond,479133,1243044,287480,1234567,60000,8,2026-09-20 20:05:07,2.5944
37092,Scroll of Intellect VIII,7643,19999,5764,19999,270,44,2026-09-20 20:05:07,2.6166
43553,Glyph of Unbreakable Armor,12004,33022,2253,32808,100,22,2026-09-20 20:05:07,2.7509
15410,Scale of Onyxia,246819,749000,33469,749000,5000,4,2026-09-20 06:45:06,3.0346
5542,Pearl-clasped Cloak,32786,99995,32786,99995,370,3,2026-09-20 20:05:07,3.0499
42467,Glyph of Shadow Bolt,4823,15000,2894,14999,100,23,2026-09-20 20:05:07,3.1101
34765,Pickled Fangtooth,7063,27818,5307,27818,300,5,2026-09-20 14:04:57,3.9386
6271,Pattern: Red Linen Vest,2061,8844,475,8800,50,3,2026-09-20 20:05:07,4.2911
42744,Glyph of Ice Block,8582,47165,7640,46999,100,19,2026-09-20 20:05:07,5.4958
15409,Refined Deeprock Salt,54780,386666,35306,80000,1000,50,2026-09-20 20:05:07,7.0585
