item,reason
2306,no-data
2323,no-data
2322,no-data
2327,no-data
2362,no-data
2364,no-data
2369,no-data
2366,no-data
2384,no-data
2385,no-data
2387,no-data
2388,no-data
2389,no-data
2390,no-data
2398,no-data
2399,no-data
2404,no-data
2403,no-data
2400,no-data
2405,no-data
2402,no-data
2412,no-data
2413,no-data
2410,no-data
2418,stale
2419,stale
2415,no-data
2417,stale
2420,stale
2422,stale
2421,stale
2423,no-data
2424,no-data
2426,no-data
2427,no-data
2425,no-data
2431,no-data
2428,no-data
2434,no-data
2432,no-data
2435,no-data
2438,no-data
2441,no-data
2443,no-data
2440,no-data
2444,no-data
2429,no-data
2442,no-data
2437,no-data
2462,no-data
2461,no-data
2464,no-data
2463,no-data
2465,no-data
2460,no-data
2469,no-data
2468,no-data
2470,no-data
2467,no-data
2472,no-data
2478,no-data
2471,no-data
2474,no-data
2475,no-data
2482,no-data
2483,no-data
2484,no-data
2481,no-data
2473,no-data
2485,no-data
2486,no-data
2513,no-data
2514,no-data
2510,no-data
2504,no-data
2509,no-data
2517,no-data
2528,no-data
2530,no-data
2529,no-data
2518,no-data
2533,no-data
2531,no-data
2543,no-data
2532,no-data
2551,no-data
2535,no-data
2534,no-data
2550,no-data
2552,no-data
2554,no-data
2557,no-data
2558,no-data
2559,no-data
2556,no-data
2573,no-data
2574,no-data
2588,no-data
2590,no-data
2591,no-data
2599,no-data
2600,no-data
2602,no-data
2612,no-data
2614,no-data
2613,no-data
2608,no-data
2615,no-data
2617,no-data
2616,no-data
2651,no-data
2648,no-data
2653,no-data
2643,no-data
2647,no-data
2655,no-data
2664,no-data
2688,no-data
2686,no-data
2707,no-data
2704,no-data
2709,no-data
2710,no-data
2705,no-data
2716,no-data
2715,no-data
2717,no-data
2718,no-data
2708,no-data
2711,no-data
2754,no-data
2714,no-data
2804,no-data
2809,no-data
2813,no-data
2810,no-data
2827,no-data
2867,no-data
2884,no-data
2887,no-data
2890,no-data
2896,no-data
2893,no-data
2894,no-data
2895,no-data
2899,no-data
2918,no-data
2923,no-data
2892,no-data
2920,no-data
2919,no-data
2922,no-data
2928,stale
2930,stale
2927,no-data
2929,no-data
2932,no-data
2921,no-data
2952,no-data
2993,no-data
2994,no-data
3001,no-data
3002,no-data
2995,no-data
3006,no-data
3003,no-data
3004,no-data
3005,no-data
3029,no-data
3025,no-data
3028,no-data
3032,no-data
3031,no-data
3034,no-data
3051,no-data
3052,no-data
3059,no-data
3061,no-data
3060,no-data
3068,no-data
3089,no-data
3087,no-data
3088,no-data
3090,no-data
3077,no-data
3092,no-data
3096,no-data
3094,no-data
3091,no-data
3093,no-data
3099,no-data
3098,no-data
3097,no-data
3095,no-data
3102,no-data
3104,no-data
3100,no-data
3105,no-data
3106,no-data
3112,no-data
3113,no-data
3114,no-data
3101,no-data
3107,no-data
3118,no-data
3119,no-data
3111,no-data
3120,no-data
3115,no-data
3116,no-data
3121,no-data
3125,no-data
3126,no-data
3127,no-data
3123,no-data
3124,no-data
3132,no-data
3129,no-data
3133,no-data
3130,no-data
3134,no-data
3147,no-data
3159,no-data
3168,no-data
3169,no-data
3170,stale
3146,no-data
3148,no-data
3150,no-data
3171,no-data
3176,no-data
3149,no-data
3177,no-data
3179,no-data
3215,no-data
3232,no-data
3242,no-data
3226,no-data
3243,no-data
3244,no-data
3246,no-data
3245,no-data
3247,no-data
3249,no-data
3259,no-data
3263,no-data
3261,no-data
3271,no-data
3278,no-data
3294,no-data
3293,no-data
3296,no-data
3295,no-data
3320,no-data
3321,no-data
3323,no-data
3326,no-data
3329,no-data
3333,no-data
3332,no-data
3330,no-data
3350,no-data
3351,no-data
3346,no-data
3362,no-data
3361,no-data
3359,no-data
3381,no-data
3380,stale
3398,no-data
3500,no-data
3503,no-data
3507,no-data
3522,no-data
3501,no-data
3524,no-data
3526,no-data
3528,no-data
3527,no-data
3523,no-data
3539,no-data
3542,no-data
3541,no-data
3543,no-data
3545,no-data
3544,no-data
3546,no-data
3536,no-data
3548,no-data
3547,no-data
3549,no-data
3537,no-data
3538,no-data
3557,no-data
3540,no-data
3579,no-data
3588,no-data
3590,no-data
3589,no-data
3593,no-data
3594,no-data
3587,no-data
3595,no-data
3599,no-data
3600,no-data
3596,no-data
3646,no-data
3644,no-data
3606,no-data
3648,no-data
3675,no-data
3694,no-data
